id,title,address,price,surface,rooms,property_type,latitude,longitude,description,features,source,url,scraped_at,property_type_extracted,qualitative_features
1684,"Upgraded Studio In Prime Van Nuys - Picnic Area, Courtyard, Pool, A/C",Van Nuys/Lake Balboa ADJ,1695.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-upgraded-studio-in-prime-van/7872358744.html,2025-08-09,studio,['unknown']
1685,Back house studio for rent,glendale very nice area and very private,2250.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/glendale-back-house-studio-for-rent/7872368889.html,2025-08-09,studio,['unknown']
1686,Furnished Co-Living Primary Studio in Westwood | Private Balcony,Westwood / Near UCLA,1859.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/los-angeles-furnished-co-living-primary/7872368855.html,2025-08-09,studio,['furnished']
1687,Discover your haven. Check out our Studio BR.,Pomona,1773.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sgv/apa/d/glendora-discover-your-haven-check-out/7872368859.html,2025-08-09,studio,['unknown']
1688,A Woodland Hills gem! Studio in the city's best spot.,Woodland Hills,2247.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/canoga-park-woodland-hills-gem-studio/7872367600.html,2025-08-09,studio,['unknown']
1689,Renovated Studio in West Hollywood* W/D in Unit* Vinyl Plank Flooring*,West Hollywood/ Near Beverly Grove,2500.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/west-hollywood-renovated-studio-in-west/7872358147.html,2025-08-09,studio,['unknown']
1690,Studio Apartment in Hollywood - 1737  N Sycamore,central LA 213/323,1520.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-apartment-in/7869820346.html,2025-08-09,studio,['unknown']
1691,Studio apartment at 1781 N Orchid Ave,central LA 213/323,1495.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-apartment-at-1781/7869814875.html,2025-08-09,studio,['unknown']
1692,Charming Studio Apartment with Parking,central LA 213/323,1550.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-charming-studio-apartment/7869825753.html,2025-08-09,studio,['unknown']
1693,Bright & Cozy Studio in East Hollywood with Parking Included!,central LA 213/323,1550.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bright-cozy-studio-in-east/7869826886.html,2025-08-09,studio,['bright']
1694,Stylish Studio in the Heart of West Hollywood,central LA 213/323,1475.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-stylish-studio-in-the-heart/7870060924.html,2025-08-09,studio,['unknown']
1695,Studio Apartment– Prime Hollywood Location!,central LA 213/323,1595.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-apartment-prime/7868269421.html,2025-08-09,studio,['unknown']
1696,Purrfect home for you & your pet! Studio  in Long Beach.,Long Beach,2198.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/long-beach-purrfect-home-for-you-your/7871074496.html,2025-08-09,studio,['unknown']
1697,Charming Studio  with great character! 0 Sq Feet,Long Beach,1524.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lgb/apa/d/long-beach-charming-studio-with-great/7872361875.html,2025-08-09,studio,['unknown']
1698,"Pool Deck and BBQ Area, Studio in Modern Community in North Hollywood",North Hollywood,2295.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/toluca-lake-pool-deck-and-bbq-area/7872361852.html,2025-08-09,studio,['unknown']
1699,Gorgeous Studio! 0 Sq Ft! Must see!,Long Beach,1524.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lgb/apa/d/long-beach-gorgeous-studio-sq-ft-must/7872361817.html,2025-08-09,studio,['unknown']
1700,Enjoy serenity and tranquility in our lovely garden-style Studio bdba,Long Beach,1649.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lgb/apa/d/long-beach-enjoy-serenity-and/7872361635.html,2025-08-09,studio,['unknown']
1701,Let us help you find your next home! Check out this Studio!,Long Beach,1649.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lgb/apa/d/long-beach-let-us-help-you-find-your/7872361560.html,2025-08-09,studio,['unknown']
1702,BACHELOR STUDIO WITH OWN BALCONY,CULVER CITY PALMS,1550.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/los-angeles-bachelor-studio-with-own/7872354643.html,2025-08-09,studio,['unknown']
1703,Studio in Koreatown ^ SPECIALS ^ Lush Community Garden ^ Pet-Friendly,Koreatown Adjacent,1195.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-in-koreatown/7870289824.html,2025-08-09,studio,['unknown']
1704,Panorama City STUDIO + SPECIALS + Wood Style Floors + Swimming Pool,Panorama City,1495.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/los-angeles-panorama-city-studio/7872359631.html,2025-08-09,studio,['unknown']
1705,Los Feliz Brand New Co-Living Studio Suite * W/D * SS Appliances,East Hollywood / Los Feliz,1695.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-los-feliz-brand-new-co/7872358690.html,2025-08-09,studio,['unknown']
1706,"Gas Stove, Central A/C, Refrigerator, Remodeled 1+1 in Studio City",Studio City / Near Universal City,2495.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/studio-city-gas-stove-central-c/7872358674.html,2025-08-09,studio,['unknown']
1707,"Large Bedrooms, Covered Parking, Studio",antelope valley,1640.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/ant/apa/d/palmdale-large-bedrooms-covered-parking/7871821852.html,2025-08-09,studio,['unknown']
1708,~** GATED TARZANA  PRIVATE *IN HOUSE SMALL NEW STUDIO!!$$1529**,Tarzana,1529.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/reseda-gated-tarzana-private-in-house/7867687340.html,2025-08-09,studio,['unknown']
1709,Studio In North Hollywood All Utilities PAID,North Hollywood,1600.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/valley-village-studio-in-north/7872351241.html,2025-08-09,studio,['unknown']
1710,Studio In NoHo,North Hollywood,1600.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/valley-village-studio-in-noho/7872357411.html,2025-08-09,studio,['unknown']
1711,North Hollywood Studio For Rent All Utilities PAID Except Internet,North Hollywood,1600.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/valley-village-north-hollywood-studio/7872347456.html,2025-08-09,studio,['unknown']
1712,1 Month Free -Studio PH in Downtown Los Angeles -In-Home Washer/Dryer,South Park,2100.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-month-free-studio-ph-in/7872347489.html,2025-08-09,studio,['unknown']
1713,One Month Free | BBQ/Picnic Area | STUDIO in Downtown Los Angeles,Near Arts District / Westlake ADJ,1975.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-one-month-free-bbq-picnic/7872355581.html,2025-08-09,studio,['unknown']
1714,Guest House Studio With View,LosAngeles,2150.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-guest-house-studio-with-view/7865149808.html,2025-08-09,studio,['unknown']
1715,"Ceiling Fan, Gym, BBQ/Picnic Area, Renovated Studio in Tarzana",Close to Ventura Boulevard,1725.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/tarzana-ceiling-fan-gym-bbq-picnic-area/7872353880.html,2025-08-09,studio,['unknown']
1716,"Massage and Sauna Rooms, Studio, In Los Angeles",Beaudry & Temple,2419.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-massage-and-sauna-rooms/7867033192.html,2025-08-09,studio,['unknown']
1717,ADU Studio,long beach / 562,1500.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lgb/apa/d/lakewood-adu-studio/7872353000.html,2025-08-09,studio,['unknown']
1718,Beautiful spacious studio renovated with stainless steel appliances,"18520 Vincennes St, Northridge, CA",1599.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/northridge-beautiful-spacious-studio/7868614302.html,2025-08-09,studio,['spacious']
1719,SS Appliances | Furnished Co-Living Studio Suite + Balcony in Westwood,Close to UCLA,1850.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/los-angeles-ss-appliances-furnished-co/7872351334.html,2025-08-09,studio,['furnished']
1720,Studio in Westlake *SS Appliances *Parking *Outdoor BBQ *Pet-Friendly,Westlake South / DTLA Adjacent,1395.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-in-westlake-ss/7872351207.html,2025-08-09,studio,['unknown']
1721,Studio Westwood Apartment w/ 1 Bath Close To Everything!,Westwood 90024,2445.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/los-angeles-studio-westwood-apartment-1/7871272723.html,2025-08-09,studio,['unknown']
